=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:43:15 =~=~=~=~=~=~=~=~=~=~=~=
48.23
36.86
36.84
35.93
36.27
35.93
36.39
36.38
36.75
36.38
36.86
36.86
49.05
49.41
44.62
50.68
45.93
46.34
45.93
46.44
46.01
46.34
46.32
49.31
49.31
48.35
44.92
44.62
43.82
45.93
45.93
48.14
49.13
49.13
49.99
57.81
49.48
49.48
36.86
36.86
36.84
36.86
36.75
3
